1
 OUTPUT FROM NONPUL:
  INITIAL MODEL IN HYDROSTATIC AND THERMAL BALANCE

  ZAMS 130 Msun to test the complete integrator                                      200 ZONES

     TOTAL LUMINOSITY= 7.7397E+39 TOTAL MASS= 2.5883E+35 EFFECTIVE TEMP.= 5.5266E+04
       PHOTOSPHERIC RADIUS= 1.0791E+12 CORE RADIUS= 6.2950E+10 CORE LUM.= 7.2700E+38
 IRAD= 1 NOBURN= 0 ONEMQ0= 1.000E+00 ONEMQ1= 1.000E+00 RLUMS= 7.740E+39 RLUMC= 7.740E+33
           IOUT= 0 IHMIN=  0 IHMAX=  0
   I   RADIUS     TEMP     SP.VOL   PRESSURE     G1       G3M1     OPACITY   DLKDLR    DLKDLT      CV       FRFT    INT.MASS
    1 7.969E+10 4.152E+07 8.173E-01 1.425E+16 1.420E+00 3.671E-01 3.352E-01 1.718E-03-1.183E-02 1.970E+09 1.378E-02 2.617E+33
    2 9.171E+10 4.117E+07 8.362E-01 1.379E+16 1.420E+00 3.672E-01 3.352E-01 1.782E-03-1.195E-02 1.966E+09 2.076E-02 3.946E+33
    3 1.015E+11 4.086E+07 8.535E-01 1.340E+16 1.421E+00 3.672E-01 3.352E-01 1.839E-03-1.206E-02 1.962E+09 2.780E-02 5.288E+33
    4 1.099E+11 4.058E+07 8.699E-01 1.304E+16 1.421E+00 3.673E-01 3.352E-01 1.891E-03-1.217E-02 1.959E+09 3.489E-02 6.643E+33
    5 1.173E+11 4.031E+07 8.857E-01 1.271E+16 1.421E+00 3.674E-01 3.352E-01 1.940E-03-1.227E-02 1.955E+09 4.205E-02 8.013E+33
    6 1.241E+11 4.006E+07 9.012E-01 1.240E+16 1.421E+00 3.674E-01 3.352E-01 1.987E-03-1.237E-02 1.952E+09 4.927E-02 9.396E+33
    7 1.304E+11 3.981E+07 9.164E-01 1.211E+16 1.421E+00 3.675E-01 3.352E-01 2.032E-03-1.246E-02 1.949E+09 5.655E-02 1.079E+34
    8 1.363E+11 3.957E+07 9.315E-01 1.183E+16 1.421E+00 3.675E-01 3.353E-01 2.075E-03-1.256E-02 1.946E+09 6.390E-02 1.220E+34
    9 1.419E+11 3.934E+07 9.466E-01 1.157E+16 1.421E+00 3.676E-01 3.353E-01 2.117E-03-1.265E-02 1.943E+09 7.131E-02 1.363E+34
   10 1.471E+11 3.911E+07 9.616E-01 1.131E+16 1.421E+00 3.676E-01 3.353E-01 2.158E-03-1.274E-02 1.941E+09 7.878E-02 1.507E+34
   11 1.522E+11 3.889E+07 9.766E-01 1.106E+16 1.421E+00 3.677E-01 3.353E-01 2.199E-03-1.283E-02 1.938E+09 8.632E-02 1.652E+34
   12 1.570E+11 3.867E+07 9.918E-01 1.082E+16 1.421E+00 3.677E-01 3.353E-01 2.238E-03-1.292E-02 1.935E+09 9.393E-02 1.799E+34
   13 1.617E+11 3.845E+07 1.007E+00 1.059E+16 1.421E+00 3.678E-01 3.353E-01 2.277E-03-1.302E-02 1.932E+09 1.016E-01 1.948E+34
   14 1.662E+11 3.824E+07 1.022E+00 1.037E+16 1.422E+00 3.678E-01 3.353E-01 2.316E-03-1.311E-02 1.930E+09 1.093E-01 2.097E+34
   15 1.707E+11 3.803E+07 1.038E+00 1.015E+16 1.422E+00 3.679E-01 3.353E-01 2.354E-03-1.320E-02 1.927E+09 1.172E-01 2.249E+34
   16 1.749E+11 3.782E+07 1.054E+00 9.932E+15 1.422E+00 3.679E-01 3.353E-01 2.392E-03-1.329E-02 1.924E+09 1.250E-01 2.402E+34
