
     FNPOL  3.000 RADIUS=   5.604624E+00
1 polytropic model in hydrostatic balance


 fnpol=  3.00 guess for surface radius= 5.604E+00 alpha= 1.784E-01
   lambda= 1.565E-02 rhobar= 2.387E-01 totmas= 1.000E+00 int. mass= 1.206E+00 diff.=-2.065E-01
  rz0= 1.684E-03 p0= 2.450E-05 rho0= 1.565E-02
 max. g in zone  273 radius = 9.192E-01 mass =  9.516E-01
 Asymptotic frequency for p modes is  0.0000E+00
   Eotvos parameters are   1.000E+00  1.000
   i     xi       theta     dthdr    radius      p        rho        g         rm       dm1       rzone
    1 0.000E+00 1.000E+00 0.000E+00 3.367E-03 2.466E-05 1.573E-02 1.808E-07 1.166E-08 1.760E-08 5.051E-03
    2 1.887E-02 1.002E+00 1.835E-09 6.734E-03 2.497E-05 1.588E-02 4.469E-07 2.918E-08 4.823E-08 8.418E-03
    3 3.774E-02 1.005E+00 1.814E-08 1.010E-02 2.529E-05 1.603E-02 1.167E-06 7.718E-08 9.481E-08 1.178E-02
    4 5.661E-02 1.008E+00 1.066E-07 1.347E-02 2.561E-05 1.618E-02 2.562E-06 1.715E-07 1.578E-07 1.515E-02
    5 7.548E-02 1.011E+00 4.160E-07 1.684E-02 2.594E-05 1.634E-02 4.848E-06 3.286E-07 2.377E-07 1.852E-02
    6 9.435E-02 1.014E+00 1.230E-06 2.020E-02 2.628E-05 1.650E-02 8.234E-06 5.652E-07 3.350E-07 2.189E-02
    7 1.132E-01 1.018E+00 3.008E-06 2.357E-02 2.662E-05 1.666E-02 1.293E-05 8.985E-07 4.501E-07 2.525E-02
    8 1.321E-01 1.021E+00 6.428E-06 2.694E-02 2.698E-05 1.682E-02 1.913E-05 1.346E-06 5.837E-07 2.862E-02
    9 1.510E-01 1.024E+00 1.243E-05 3.030E-02 2.733E-05 1.699E-02 2.705E-05 1.927E-06 7.362E-07 3.199E-02
   10 1.698E-01 1.028E+00 2.223E-05 3.367E-02 2.770E-05 1.716E-02 3.687E-05 2.660E-06 9.081E-07 3.535E-02
   11 1.887E-01 1.031E+00 3.742E-05 3.704E-02 2.807E-05 1.733E-02 4.879E-05 3.563E-06 1.100E-06 3.872E-02
   12 2.076E-01 1.035E+00 5.991E-05 4.040E-02 2.845E-05 1.751E-02 6.300E-05 4.658E-06 1.313E-06 4.209E-02
   13 2.264E-01 1.038E+00 9.205E-05 4.377E-02 2.884E-05 1.769E-02 7.967E-05 5.964E-06 1.547E-06 4.545E-02
   14 2.453E-01 1.042E+00 1.366E-04 4.714E-02 2.923E-05 1.787E-02 9.900E-05 7.503E-06 1.803E-06 4.882E-02
   15 2.642E-01 1.045E+00 1.969E-04 5.051E-02 2.963E-05 1.805E-02 1.212E-04 9.296E-06 2.081E-06 5.219E-02
   16 2.831E-01 1.049E+00 2.766E-04 5.387E-02 3.004E-05 1.824E-02 1.463E-04 1.137E-05 2.382E-06 5.556E-02
   17 3.019E-01 1.052E+00 3.801E-04 5.724E-02 3.046E-05 1.843E-02 1.747E-04 1.374E-05 2.708E-06 5.892E-02
   18 3.208E-01 1.056E+00 5.123E-04 6.061E-02 3.089E-05 1.862E-02 2.064E-04 1.643E-05 3.058E-06 6.229E-02
   19 3.397E-01 1.060E+00 6.786E-04 6.397E-02 3.132E-05 1.882E-02 2.417E-04 1.947E-05 3.433E-06 6.566E-02
   20 3.585E-01 1.063E+00 8.852E-04 6.734E-02 3.177E-05 1.902E-02 2.806E-04 2.288E-05 3.834E-06 6.902E-02
   21 3.774E-01 1.067E+00 1.139E-03 7.071E-02 3.222E-05 1.922E-02 3.234E-04 2.670E-05 4.263E-06 7.239E-02
   22 3.963E-01 1.071E+00 1.447E-03 7.407E-02 3.268E-05 1.943E-02 3.702E-04 3.094E-05 4.718E-06 7.576E-02
   23 4.152E-01 1.075E+00 1.818E-03 7.744E-02 3.316E-05 1.964E-02 4.212E-04 3.563E-05 5.203E-06 7.912E-02
   24 4.340E-01 1.079E+00 2.261E-03 8.081E-02 3.364E-05 1.985E-02 4.766E-04 4.080E-05 5.717E-06 8.249E-02
   25 4.529E-01 1.082E+00 2.785E-03 8.418E-02 3.413E-05 2.007E-02 5.364E-04 4.649E-05 6.260E-06 8.586E-02
   26 4.718E-01 1.086E+00 3.402E-03 8.754E-02 3.463E-05 2.029E-02 6.010E-04 5.271E-05 6.835E-06 8.923E-02
   27 4.906E-01 1.090E+00 4.122E-03 9.091E-02 3.514E-05 2.051E-02 6.703E-04 5.950E-05 7.442E-06 9.259E-02
   28 5.095E-01 1.094E+00 4.959E-03 9.428E-02 3.567E-05 2.074E-02 7.447E-04 6.690E-05 8.083E-06 9.596E-02
   29 5.284E-01 1.098E+00 5.924E-03 9.764E-02 3.620E-05 2.098E-02 8.241E-04 7.493E-05 8.757E-06 9.933E-02
   30 5.473E-01 1.103E+00 7.033E-03 1.010E-01 3.675E-05 2.121E-02 9.089E-04 8.364E-05 9.466E-06 1.027E-01
   31 5.661E-01 1.107E+00 8.300E-03 1.044E-01 3.730E-05 2.145E-02 9.991E-04 9.304E-05 1.021E-05 1.061E-01
   32 5.850E-01 1.111E+00 9.743E-03 1.077E-01 3.787E-05 2.170E-02 1.095E-03 1.032E-04 1.099E-05 1.094E-01
   33 6.039E-01 1.115E+00 1.138E-02 1.111E-01 3.845E-05 2.194E-02 1.196E-03 1.141E-04 1.181E-05 1.128E-01
   34 6.227E-01 1.119E+00 1.322E-02 1.145E-01 3.904E-05 2.220E-02 1.304E-03 1.258E-04 1.267E-05 1.162E-01
   35 6.416E-01 1.124E+00 1.529E-02 1.178E-01 3.964E-05 2.245E-02 1.417E-03 1.384E-04 1.357E-05 1.195E-01
   36 6.605E-01 1.128E+00 1.762E-02 1.212E-01 4.026E-05 2.272E-02 1.537E-03 1.519E-04 1.452E-05 1.229E-01
   37 6.793E-01 1.132E+00 2.021E-02 1.246E-01 4.089E-05 2.298E-02 1.663E-03 1.663E-04 1.550E-05 1.263E-01
   38 6.982E-01 1.137E+00 2.310E-02 1.279E-01 4.153E-05 2.325E-02 1.796E-03 1.817E-04 1.653E-05 1.296E-01
   39 7.171E-01 1.141E+00 2.631E-02 1.313E-01 4.219E-05 2.353E-02 1.935E-03 1.981E-04 1.761E-05 1.330E-01
   40 7.360E-01 1.146E+00 2.987E-02 1.347E-01 4.286E-05 2.381E-02 2.081E-03 2.156E-04 1.873E-05 1.364E-01
   41 7.548E-01 1.150E+00 3.379E-02 1.380E-01 4.354E-05 2.409E-02 2.234E-03 2.342E-04 1.990E-05 1.397E-01
   42 7.737E-01 1.155E+00 3.811E-02 1.414E-01 4.424E-05 2.438E-02 2.394E-03 2.540E-04 2.112E-05 1.431E-01
   43 7.926E-01 1.159E+00 4.286E-02 1.448E-01 4.495E-05 2.467E-02 2.562E-03 2.749E-04 2.240E-05 1.465E-01
   44 8.114E-01 1.164E+00 4.807E-02 1.481E-01 4.568E-05 2.497E-02 2.737E-03 2.972E-04 2.372E-05 1.498E-01
   45 8.303E-01 1.169E+00 5.376E-02 1.515E-01 4.643E-05 2.528E-02 2.919E-03 3.207E-04 2.510E-05 1.532E-01
   46 8.492E-01 1.173E+00 5.999E-02 1.549E-01 4.719E-05 2.559E-02 3.110E-03 3.456E-04 2.654E-05 1.566E-01
   47 8.681E-01 1.178E+00 6.677E-02 1.582E-01 4.796E-05 2.590E-02 3.308E-03 3.719E-04 2.803E-05 1.599E-01
   48 8.869E-01 1.183E+00 7.414E-02 1.616E-01 4.875E-05 2.622E-02 3.514E-03 3.997E-04 2.959E-05 1.633E-01
   49 9.058E-01 1.188E+00 8.216E-02 1.650E-01 4.956E-05 2.655E-02 3.729E-03 4.290E-04 3.120E-05 1.667E-01
   50 9.247E-01 1.193E+00 9.084E-02 1.684E-01 5.039E-05 2.688E-02 3.952E-03 4.600E-04 3.288E-05 1.700E-01
   51 9.435E-01 1.198E+00 1.002E-01 1.717E-01 5.123E-05 2.722E-02 4.183E-03 4.926E-04 3.463E-05 1.734E-01
   52 9.624E-01 1.203E+00 1.104E-01 1.751E-01 5.210E-05 2.756E-02 4.423E-03 5.269E-04 3.644E-05 1.768E-01
   53 9.813E-01 1.208E+00 1.214E-01 1.785E-01 5.298E-05 2.791E-02 4.672E-03 5.630E-04 3.832E-05 1.801E-01
   54 1.000E+00 1.213E+00 1.332E-01 1.818E-01 5.388E-05 2.826E-02 4.931E-03 6.009E-04 4.027E-05 1.835E-01
   55 1.019E+00 1.218E+00 1.459E-01 1.852E-01 5.480E-05 2.862E-02 5.198E-03 6.408E-04 4.229E-05 1.869E-01
   56 1.038E+00 1.223E+00 1.596E-01 1.886E-01 5.574E-05 2.899E-02 5.475E-03 6.827E-04 4.439E-05 1.902E-01
   57 1.057E+00 1.228E+00 1.742E-01 1.919E-01 5.670E-05 2.937E-02 5.761E-03 7.266E-04 4.657E-05 1.936E-01
